id,text,word_count,dialect,source
SASAK_SENT_000140,"Malahan ie gen toloq dilah nike leq nae dilah, adeqne bau ngebeng cahaye tipaq sebilang dengan leq dalem bale.",19,general,alkitab_sasak_Mat_5_15
SASAK_SENT_000141,"Maraq nike endah cahayende harus besinar leq julu dengan, adeq ie pade serioq perbuatan-perbuatande saq solah, terus ie pade mulieang Bapa side leq sorge.""",24,general,alkitab_sasak_Mat_5_16
SASAK_SENT_000142,Ndaq beranggepan bahwe Tiang dateng jari ngapus Hukum Taurat dait kitab nabi-nabi.,12,general,alkitab_sasak_Mat_5_17
SASAK_SENT_000143,"Tiang dateng ndeqne jari ngapus hukum nike, laguq jari genepang hukum nike.",12,general,alkitab_sasak_Mat_5_17
SASAK_SENT_000144,Setetune Tiang badaq side!,4,general,alkitab_sasak_Mat_5_18
SASAK_SENT_000145,"Sengoneq langit dait gumi masih araq, timaq sopoq hurup atao titik saq paling kodeq leq dalem hukum nike ndeq gen teapus lamun selapuqne ndeqman telaksane!",25,general,alkitab_sasak_Mat_5_18
SASAK_SENT_000146,"Keranaq nike, sai-sai saq ngelanggar salaq sopoq leman prentah-prentah nike, timaq nike bagian saq paling kodeq, dait ngajah dengan lain ngelaksaneang saq maraq nike endah, ie gen araq leq taoq saq paling bawaq leq dalem Kerajaan Sorge.",37,general,alkitab_sasak_Mat_5_19
SASAK_SENT_000147,"Laguq sai-sai saq taat ngelaksaneang dait ngajahang selapuq prentah-prentah Hukum Taurat, ie gen araq leq taoq saq paling atas leq dalem Kerajaan Sorge.",23,general,alkitab_sasak_Mat_5_19
SASAK_SENT_000148,"Make Tiang badaq side: Lamun idupde dalem beragame ndeqne solahan leman ahli-ahli Taurat atao dengan Parisi, setetune side ndeq bau tame leq dalem Kerajaan Sorge!""",25,general,alkitab_sasak_Mat_5_20
SASAK_SENT_000149,Side sampun dengah manik saq tesampeang langan leluhurte: Ndaq nyemateq; sai-sai saq nyemateq harus tehukum.,15,general,alkitab_sasak_Mat_5_21
SASAK_SENT_000150,"Laguq Tiang badaq side, sebilang dengan saq gedek leq semetonne harus tehukum; sai juaq saq bebase leq semetonne: Kapir!",19,general,alkitab_sasak_Mat_5_22
SASAK_SENT_000151,Harus teadilin leq julu Mahkamah Agame.,6,general,alkitab_sasak_Mat_5_22
SASAK_SENT_000152,"Dait sai-sai saq bebase ""Jahil"", harus teteteh ojok dalem api nerake.",11,general,alkitab_sasak_Mat_5_22
SASAK_SENT_000153,"Keranaq nike, lamun side kenyeke ngaturang persembahan leq atas meje taoq kurban, terus inget bahwe araq dengan saq sakit ate leq side,",22,general,alkitab_sasak_Mat_5_23
SASAK_SENT_000154,"side harus bilin juluq persembahande nike leq julu meje taoq kurban, terus lumbar bedame kance dengan nike, terus tulak malik ngaturang persembahande nike.",23,general,alkitab_sasak_Mat_5_24
SASAK_SENT_000155,"Seandene araq dengan ngelaporang side ojok pengadilan, usaheang juluq bedame kance ie sengoneq side masih bareng kance ie leq tengaq langan, adeq musuhde nike ndeq nyerahang side ojok hakim, saq gen nyerahang side ojok petugas, terus petugas nike gen tamaq side ojok dalem bui.",44,general,alkitab_sasak_Mat_5_25
SASAK_SENT_000156,"Tiang badaq side: Setetune side ndeq gen sugul leman bui sendeqman side bayah utangde jangke lunas.""",16,general,alkitab_sasak_Mat_5_26
SASAK_SENT_000157,Side pade nenaoq bahwe araq Manik Allah maraq niki: Ndaq bezinah.,11,general,alkitab_sasak_Mat_5_27
SASAK_SENT_000158,"Laguq mangkin Tiang badaq side: Sai-sai saq serioq dengan nine siq napsu birahine, artine dengan nike sampun bezinah kance dengan nine nike leq dalem angenne.",25,general,alkitab_sasak_Mat_5_28
SASAK_SENT_000159,"Lamun penentengde saq kanan jari penyebap side bedose, luit dait teteh penenteng nike!",13,general,alkitab_sasak_Mat_5_29
SASAK_SENT_000160,Solahan side kelangan salaq sopoq bagian leman awakde ketimbang selapuq awakde teteteh ojok api nerake.,15,general,alkitab_sasak_Mat_5_29
