word,lemma,pos,dialect,meaning_id,meaning_2,example,source
aiq ngempok,aiq ngempok,,Sasak Umum,air mata air,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq nimpoh,aiq nimpoh,,Sasak Umum,air terjun,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq pedupan,aiq pedupan,,Sasak Umum,air suci untuk upacara panenang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq segara,aiq segara,,Sasak Umum,air laut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq sumpah,aiq sumpah,,Sasak Umum,air untuk menyumpah seseorang yang melakukan/ mengucapkan sumpah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq susu,aiq susu,,Sasak Umum,air susu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq teh,aiq teh,,Sasak Umum,air teh,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq telek,aiq telek,,Sasak Umum,air pencuci tangan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq toya,aiq toya,,Sasak Umum,air suci orang Bali,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq tuak,aiq tuak,,Sasak Umum,air nira,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiqang,aiqang,,Sasak Umum,airi (sawah),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiqin,aiqin,,Sasak Umum,airi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
air nyet,air nyet,,Sasak Umum,air mentah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajah-ajahang,ajah-ajahang,,Sasak Umum,ajar-ajarkan; ajaran,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajah; ajar,ajah,,Sasak Umum,(Pjt) ajar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajahang,ajahang,,Sasak Umum,ajarkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajaip,ajaip,,Sasak Umum,Ar ajaib; ganjil; aneh; jarang ada,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajaipan,ajaipan,,Sasak Umum,lebih ajaib; agak ajaib,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajak,ajak,,Sasak Umum,langkah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajak-ajakin,ajak-ajakin,,Sasak Umum,pancingan (lawan) dgn melangkah maju-mundur,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajal,ajal,,Sasak Umum,Ar ajal; batas hidup yg ditentukan Tuhan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ajaq, ajaq-ajaq",ajaq,,Sasak Umum,(tampaknya) kurang sungguhan; asal-asalan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajaq-ajaq,ajaq-ajaq,,Sasak Umum,pura-pura bohong,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ajaq; lekak,ajaq,,Sasak Umum,bohong,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
